"","type"
"1","action & adventure"
"2","comedy"
"3","drama"
"4","science fiction & fantasy"
"5","romance"
"6","classics"
"7","kids & family"
"8","mystery & suspense"
"9","western"
"10","art house & international"
"11","horror"
"12","faith & spirituality"
"13","animation"
"14","documentary"
"15","special interest"
"16","musical & performing arts"
"17","sports & fitness"
"18","television"
"19","cult movies"
"20","anime & manga"
"21","gay & lesbian"
"22",""
"23","action"
"24","adventure"
"25","mystery & thriller"
"26","sci-fi"
"27","biography"
"28","history"
"29","musical"
"30","crime"
"31","music"
"32","fantasy"
"33","holiday"
"34","anime"
"35","lgbtq+"
"36","war"
